☆港澳台频道☆,#genre#
凤凰资讯,http://liveali.ifeng.com/live/FHZX.flv#http://liveali.ifeng.com/live/FHZX.flv#https://116.77.72.195/streams/d/fhzx/playlist.m3u8#http://125.210.152.18:9090/live/FHZX_1200.m3u8
凤凰中文,http://liveali.ifeng.com/live/FHZW.flv#http://liveali.ifeng.com/live/FHZW.flv#https://116.77.72.195/streams/d/fhwszwt/playlist.m3u8#http://125.210.152.18:9090/live/FHZW_1200.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳门卫视,http://stream.mastvnet.com/MSTV/SD/live.m3u8
环宇新闻,P2p://sdgdklwos.finetv.tv:9906/59fd2b5e0006d13802bde4340bc41e87#P2p://lino.homeunix.com:6007/59fd2b5e0006d13802bde4340bc41e87.ts
环宇新闻2,P2p://lino.homeunix.com:6007/5a142744000f25045fbe6f82276e0d88.ts
壹  新  闻P2p://sdgdklwos.finetv.tv:9906/59fd08ad000509c00236604f613b08e7
中视新闻,P2p://sdgdklwos.finetv.tv:9906/59fd2282000219b8029b479b6fc21d86
三立新闻,P2p://sdgdklwos.finetv.tv:9906/59fd08fd000707490237995b3c9f2775#http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
中天新闻,P2p://sdgdklwos.finetv.tv:9906/59fd05020006070602280c953c2545e6#P2p://sdgdklwos.finetv.tv:9906/5acb650d0006707f2b8d716537d413a9
非凡新闻,P2p://sdgdklwos.finetv.tv:9906/59fd05f30007004f022bba4b77671d93
台视新闻,P2p://sdgdklwos.finetv.tv:9906/59fd299b00054a3002b7020e67d657e3
年代新闻,P2p://sdgdklwos.finetv.tv:9906/5a56230e0004af51617ff5935a3e292e
民視新闻,P2p://sdgdklwos.finetv.tv:9906/59fd05930008403b022a439a3b9b7401
TVBS新闻,P2p://sdgdklwos.finetv.tv:9906/59fd096d0003aa9702394e013b6206a2#http://60.199.188.65/HLS/WG_TVBS-N/01.m3u8
东森新闻,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8#P2p://sdgdklwos.finetv.tv:9906/5a1427ee0009fb195fc1064a3af652d1#http://192.200.120.82:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv#http://wsvpull.utoooo.com/live/262630e23f204ce4906ddcca7dfdc331.flv
星空国际,https://hdl0903.plures.net/onlive/d1ede7e982d81c76affd1ab12b44b268.flv
阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8
直播影院,http://pull.inke.cn/live/1582580508863559.flv
香港经典,http://aldirect.hls.huya.com/huyalive/29106097-2689453724-11551115788685410304-2847687506-10057-A-1525422901-1_1200.m3u8#http://aldirect.hls.huya.com/huyalive/29106097-2689453724-11551115788685410304-2847687506-10057-A-1525422901-1_1200.m3u8
龙翔电影,http://192.154.103.75:8080/ZZ_shidai/ZZ_shidai.m3u8
美国之音,http://wsvpull.utoooo.com/live/80cfc09f2a8b4d620529392bc2b91682.flv
国语星河频道,P2p://185.169.196.146:9906/5c99fccd0007df36f547dfaa64a8660b.ts
☆央视频道☆,#genre#
